iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
FIN	Finland	1968	0.40422	0.28608	0.15784	0.06043	-0.00384
FIN	Finland	1969	0.25863	0.23143	0.19302	0.16725	0.10248
FIN	Finland	1970	0.24894	0.21572	0.11479	0.08514	0.07650
FIN	Finland	1971	0.19758	0.12467	0.13490	0.06581	0.01538
FIN	Finland	1972	0.70677	0.59298	0.18519	0.10617	0.07498
FIN	Finland	1973	0.44167	0.29900	0.35261	0.21875	0.05242
FIN	Finland	1974	-0.17428	-0.29228	0.29642	0.11116	0.01246
FIN	Finland	1975	0.03365	-0.12262	0.14090	-0.03159	0.02667
FIN	Finland	1976	-0.13385	-0.24249	0.15333	0.00867	0.00849
FIN	Finland	1977	-0.11512	-0.21456	0.12179	-0.00427	-0.00937
FIN	Finland	1978	0.19232	0.10607	0.12837	0.04675	0.01741
FIN	Finland	1979	0.26251	0.17477	0.12979	0.05128	0.05185
FIN	Finland	1980	0.04081	-0.06732	0.29406	0.15961	0.02596
FIN	Finland	1981	0.23924	0.10639	0.24935	0.11541	0.00849
FIN	Finland	1982	0.41609	0.29244	0.29283	0.17995	0.03989
FIN	Finland	1983	0.68809	0.55778	0.27660	0.17805	0.02585
FIN	Finland	1984	-0.02878	-0.09289	0.20448	0.12498	0.02509
FIN	Finland	1985	0.16114	0.09678	0.11597	0.05412	0.03101
FIN	Finland	1986	0.65665	0.60997	0.10584	0.07467	0.03024
FIN	Finland	1987	0.31101	0.25960	0.19232	0.14556	0.04501
FIN	Finland	1988	0.34797	0.28260	0.43122	0.36181	0.04980
FIN	Finland	1989	-0.15490	-0.20747	0.27148	0.19239	0.04903
FIN	Finland	1990	-0.30560	-0.34554	-0.01559	-0.07221	-0.01620
FIN	Finland	1991	-0.19759	-0.22931	-0.09590	-0.13164	-0.04461
FIN	Finland	1992	0.08006	0.05267	-0.11782	-0.14019	-0.04682
FIN	Finland	1993	0.92862	0.88894	0.00962	-0.01115	-0.04364
FIN	Finland	1994	0.17701	0.16436	0.15603	0.14360	0.02021
FIN	Finland	1995	-0.06346	-0.07260	0.04739	0.03717	0.05495
FIN	Finland	1996	0.50785	0.49920	0.15526	0.14864	0.03213
FIN	Finland	1997	0.35157	0.33532	0.27534	0.26001	0.03051
FIN	Finland	1998	0.72053	0.69763	0.17861	0.16293	0.03868
FIN	Finland	1999	1.67038	1.63583	0.15969	0.14468	0.03292
FIN	Finland	2000	-0.09294	-0.11894	0.12928	0.09692	0.02685
FIN	Finland	2001	-0.30625	-0.32426	0.05510	0.02771	0.01622
FIN	Finland	2002	-0.32820	-0.34141	0.15280	0.13012	0.01207
FIN	Finland	2003	0.08504	0.07122	0.12875	0.11437	0.04060
FIN	Finland	2004	0.07573	0.07415	0.13543	0.13376	0.03001
FIN	Finland	2005	0.35206	0.34166	0.12349	0.11485	0.03661
FIN	Finland	2006	0.21827	0.20294	0.14277	0.12838	0.05494
FIN	Finland	2007	0.25042	0.23093	0.11313	0.09578	0.02365
FIN	Finland	2008	-0.51307	-0.53142	0.06503	0.02489	0.01027
FIN	Finland	2009	0.26212	0.24183	0.06463	0.04752	-0.02428
FIN	Finland	2010	0.23452	0.21405	0.14894	0.12989	0.02563
FIN	Finland	2011	-0.27021	-0.29369	0.08610	0.05116	0.02390
FIN	Finland	2012	0.14103	0.10606	0.08212	0.04896	-0.00092
FIN	Finland	2013	0.32243	0.29377	0.07091	0.04770	-0.00984
FIN	Finland	2014	0.10743	0.09419	0.05041	0.03785	0.00191
FIN	Finland	2015	0.14864	0.15043	0.04998	0.05162	0.01265
FRA	France	1950	-0.15076	-0.22698	0.13528	0.03339	0.04336
FRA	France	1951	0.44295	0.23681	0.20334	0.03143	0.06526
FRA	France	1952	0.13945	0.01657	0.26605	0.12951	0.03090
FRA	France	1953	0.23160	0.25623	0.20164	0.22567	0.03233
